iter	RMSE
0	2.208696117
1	2.188190811
2	2.168361683
3	2.149663376
4	2.13071428
5	2.112080834
6	2.094234649
7	2.076602913
8	2.059477583
9	2.042399462
10	2.026361504
11	2.010487137
12	1.995258978
13	1.979979218
14	1.965036669
15	1.950738277
16	1.936420922
17	1.922443582
18	1.908804019
19	1.895255249
20	1.882705513
21	1.870007856
22	1.857983327
23	1.845856655
24	1.833997154
25	1.822379486
26	1.810913282
27	1.800031049
28	1.789436859
29	1.777450159
30	1.76547773
31	1.753802028
32	1.742401406
33	1.731365213
34	1.720601811
35	1.710140389
36	1.699948717
37	1.690002558
38	1.680117816
39	1.670723459
40	1.661660487
41	1.652804747
42	1.644024857
43	1.63551226
44	1.627684513
45	1.619385383
46	1.611524531
47	1.603925317
48	1.596451397
49	1.589247249
50	1.582202974
51	1.57507496
52	1.568568875
53	1.561922324
54	1.555559678
55	1.549154426
56	1.542821871
57	1.53670681
58	1.530749447
59	1.525305681
60	1.519843369
61	1.514444652
62	1.509218671
63	1.503880989
64	1.498790947
65	1.493881201
66	1.48899473
67	1.484097104
68	1.479654097
69	1.475441165
70	1.471021932
71	1.46680072
72	1.462524193
73	1.458137143
74	1.453900072
75	1.450078562
76	1.446231098
77	1.442579753
78	1.438579099
79	1.434809155
80	1.431560874
81	1.428223905
82	1.424792261
83	1.421347845
84	1.417803842
85	1.414651903
86	1.411430311
87	1.408156723
88	1.405195896
89	1.402245076
90	1.399425921
91	1.396550793
92	1.393715462
93	1.391376274
94	1.388717401
95	1.38621932
96	1.38350793
97	1.380847821
98	1.378422222
99	1.375966093
100	1.373482955
101	1.371091114
102	1.368829002
103	1.366338368
104	1.364163707
105	1.362056466
106	1.359921411
107	1.357933633
108	1.355807654
109	1.353779239
110	1.351681368
111	1.349678668
112	1.347775501
113	1.345814121
114	1.343922641
115	1.342211824
116	1.340397471
117	1.338662782
118	1.336883674
119	1.335252138
120	1.333570122
121	1.331956561
122	1.3305119
123	1.329046309
124	1.327633599
125	1.326155472
126	1.32463651
127	1.323154835
128	1.321858791
129	1.320334326
130	1.318859082
131	1.317493419
132	1.316138286
133	1.314861699
134	1.313578324
135	1.312519568
136	1.311349815
137	1.310104801
138	1.308884888
139	1.307762013
140	1.306592974
141	1.305552739
142	1.304476219
143	1.303376705
144	1.302324244
145	1.30125815
146	1.300282207
147	1.2992886
148	1.298276971
149	1.297371334
150	1.296375428
151	1.295367492
152	1.294446488
153	1.293508323
154	1.29265892
155	1.291804784
156	1.290951664
157	1.290138683
158	1.289266424
159	1.288548617
160	1.287730163
161	1.286943267
162	1.286144309
163	1.285415582
164	1.284668751
165	1.283921539
166	1.283151276
167	1.282504461
168	1.281763401
169	1.281131285
170	1.280429626
171	1.279717745
172	1.279078073
173	1.278424347
174	1.277805871
175	1.277159911
176	1.276503444
177	1.275890844
178	1.275292373
