iter	Passed	Remaining
0	19	77940
1	40	80107
2	60	80295
3	80	80164
4	100	80675
5	122	81227
6	142	81255
7	162	81104
8	180	80181
9	199	79694
10	218	79169
11	237	78847
12	255	78314
13	275	78326
14	294	78150
15	313	78047
16	332	77806
17	351	77671
18	369	77327
19	388	77229
20	407	77123
21	427	77252
22	446	77144
23	464	76961
24	483	76812
25	500	76513
26	519	76480
27	541	76802
28	560	76770
29	578	76592
30	598	76644
31	617	76623
32	636	76494
33	654	76336
34	675	76496
35	695	76558
36	711	76252
37	730	76163
38	750	76221
39	767	75950
40	785	75874
41	805	75924
42	824	75846
43	842	75770
44	861	75704
45	881	75747
46	900	75720
47	917	75506
48	938	75667
49	957	75622
50	977	75672
51	997	75737
52	1016	75719
53	1037	75806
54	1058	75919
55	1080	76121
56	1101	76206
57	1121	76218
58	1141	76225
59	1160	76198
60	1181	76286
61	1203	76440
62	1222	76410
63	1243	76465
64	1264	76571
65	1285	76614
66	1304	76573
67	1325	76639
68	1345	76678
69	1366	76702
70	1386	76744
71	1408	76833
72	1428	76855
73	1449	76885
74	1473	77105
75	1496	77274
76	1517	77303
77	1542	77545
78	1561	77520
79	1585	77698
80	1609	77854
81	1633	78050
82	1656	78181
83	1692	78903
84	1713	78932
85	1735	78994
86	1755	78974
87	1774	78885
88	1794	78875
89	1817	78957
90	1836	78873
91	1855	78822
92	1891	79447
93	1910	79388
94	1931	79390
95	1952	79396
96	1971	79324
97	1991	79285
98	2011	79271
99	2030	79199
100	2047	79057
101	2068	79050
102	2089	79043
103	2108	78990
104	2129	79000
105	2149	78959
106	2167	78873
107	2187	78821
108	2206	78748
109	2227	78788
110	2249	78811
111	2272	78876
112	2293	78895
113	2313	78859
114	2337	78965
115	2359	79000
116	2379	78972
117	2400	78960
118	2421	78971
119	2442	78960
120	2462	78947
121	2487	79064
122	2509	79099
123	2532	79149
124	2555	79206
125	2574	79156
126	2593	79080
127	2617	79173
128	2637	79148
129	2656	79075
130	2680	79169
131	2698	79083
132	2718	79051
133	2740	79065
134	2761	79048
135	2781	79025
136	2799	78951
137	2821	78968
138	2843	78988
139	2863	78955
140	2886	79010
141	2908	79032
142	2928	79001
143	2955	79130
144	2975	79110
145	2998	79148
146	3022	79232
147	3044	79244
148	3066	79257
149	3088	79265
150	3107	79213
151	3125	79123
152	3149	79192
153	3169	79163
154	3190	79135
155	3217	79281
156	3238	79262
157	3260	79274
158	3284	79346
159	3306	79347
160	3327	79339
161	3351	79411
162	3373	79410
163	3395	79429
164	3420	79511
165	3443	79543
166	3465	79541
167	3488	79564
168	3508	79521
169	3528	79490
170	3551	79513
171	3572	79513
172	3593	79482
173	3631	79860
174	3650	79780
175	3670	79742
176	3691	79731
177	3710	79681
178	3729	79618
179	3749	79576
180	3769	79544
181	3789	79505
182	3811	79494
183	3830	79449
184	3850	79406
185	3870	79361
186	3892	79368
187	3914	79363
188	3936	79380
189	3960	79415
190	3979	79361
191	3999	79314
192	4023	79362
193	4045	79361
194	4065	79324
195	4088	79357
196	4112	79389
197	4131	79329
198	4155	79373
199	4175	79331
200	4196	79324
201	4221	79363
202	4241	79328
203	4259	79265
204	4281	79256
205	4300	79211
206	4322	79195
207	4343	79180
208	4365	79189
209	4386	79160
210	4405	79117
211	4429	79151
212	4450	79132
213	4475	79177
214	4497	79176
215	4517	79138
216	4537	79097
217	4558	79085
218	4578	79039
219	4597	79001
220	4617	78957
221	4638	78930
222	4657	78882
223	4676	78840
224	4696	78791
225	4715	78737
226	4736	78723
227	4756	78688
228	4775	78638
229	4794	78591
230	4815	78568
231	4835	78538
232	4856	78521
233	4878	78513
234	4898	78475
235	4917	78423
236	4936	78383
237	4957	78368
238	4977	78324
239	4995	78269
240	5016	78238
241	5036	78215
242	5059	78227
243	5081	78228
244	5104	78236
245	5124	78193
246	5143	78146
247	5166	78168
248	5186	78125
249	5206	78093
250	5229	78110
251	5249	78082
252	5272	78080
253	5292	78056
254	5312	78022
255	5331	77976
256	5350	77931
257	5371	77906
258	5392	77886
259	5411	77847
260	5434	77851
261	5453	77799
262	5472	77765
263	5495	77763
264	5517	77771
265	5540	77776
266	5564	77797
267	5586	77791
268	5608	77790
269	5633	77825
270	5656	77837
271	5679	77842
272	5704	77875
273	5732	77949
274	5758	77996
275	5780	77999
276	5815	78157
277	5840	78191
278	5862	78193
279	5887	78213
280	5923	78392
281	5948	78427
282	5974	78470
283	5999	78495
284	6026	78555
285	6060	78699
286	6083	78710
287	6109	78741
288	6132	78748
289	6155	78754
290	6178	78749
291	6201	78749
292	6223	78738
293	6246	78742
294	6268	78733
295	6290	78712
296	6313	78712
297	6334	78696
298	6356	78680
299	6381	78707
